activity,id,rectime,total_adult_utt,total_child_utt,total_adult_resp,total_adult_imitexp,prop_adultresp_outof_childutt,prop_adult_imitexp_outof_childutt,language,segment_num
routines,7373,20129,46,6,19,1,3.1666666666666665,0.16666666666666666,spanish,4
conv,7373,45970,45,24,39,23,1.625,0.9583333333333334,spanish,6
ods,7373,45970,27,9,17,0,1.8888888888888888,0,spanish,6
play,7373,45970,80,43,71,15,1.6511627906976745,0.3488372093023256,spanish,6
ods,7373,44470,0,4,0,0,0,0,spanish,7
play,7373,44470,87,80,78,24,0.975,0.3,spanish,7
ac,7409,30241,1,0,0,0,NaN,NaN,spanish,1
ods,7409,30241,1,3,1,0,0.3333333333333333,0,spanish,1
play,7409,30241,141,37,81,23,2.189189189189189,0.6216216216216216,spanish,1
ac,7409,28141,6,1,2,0,2,0,spanish,3
conv,7409,28141,19,10,18,9,1.8,0.9,spanish,3
ods,7409,28141,1,2,1,0,0.5,0,spanish,3
play,7409,28141,119,32,67,20,2.09375,0.625,spanish,3
ac,7409,48841,45,13,29,13,2.230769230769231,1,spanish,4
ods,7409,48841,0,1,0,0,0,0,spanish,4
routines,7409,48841,61,20,39,9,1.95,0.45,spanish,4
ac,7409,56641,30,13,26,10,2,0.7692307692307693,spanish,5
conv,7409,56641,49,18,36,11,2,0.6111111111111112,spanish,5
ods,7409,56641,25,7,8,2,1.1428571428571428,0.2857142857142857,spanish,5
ac,7409,51541,81,34,61,19,1.7941176470588236,0.5588235294117647,spanish,6
ods,7409,51541,64,2,1,0,0.5,0,spanish,6
play,7409,51541,42,8,22,5,2.75,0.625,spanish,6
ac,7409,25228,24,5,11,4,2.2,0.8,spanish,7
ods,7409,25228,1,1,0,0,0,0,spanish,7
play,7409,25228,89,0,0,0,NaN,NaN,spanish,7
conv,7412,5433,260,55,147,15,2.672727272727273,0.2727272727272727,spanish,1
conv,7412,3633,188,86,136,21,1.5813953488372092,0.2441860465116279,spanish,10
ac,7412,9033,74,27,56,4,2.074074074074074,0.14814814814814814,spanish,11
ods,7412,9033,8,1,0,0,0,0,spanish,11
play,7412,9033,37,4,7,2,1.75,0.5,spanish,11
routines,7412,9033,88,27,59,11,2.185185185185185,0.4074074074074074,spanish,11
ac,7412,4233,158,49,105,12,2.142857142857143,0.24489795918367346,spanish,13
ods,7412,4233,0,1,0,0,0,0,spanish,13
play,7412,4233,44,12,29,4,2.4166666666666665,0.3333333333333333,spanish,13
conv,7412,4833,142,44,91,19,2.0681818181818183,0.4318181818181818,spanish,3
ods,7412,4833,0,1,0,0,0,0,spanish,3
play,7412,4833,112,45,75,15,1.6666666666666667,0.3333333333333333,spanish,3
routines,7412,6333,249,46,129,25,2.8043478260869565,0.5434782608695652,spanish,4
ac,7433,3831,9,13,8,1,0.6153846153846154,0.07692307692307693,spanish,11
food,7433,3831,29,27,23,2,0.8518518518518519,0.07407407407407407,spanish,11
ods,7433,3831,15,9,4,1,0.4444444444444444,0.1111111111111111,spanish,11
ac,7433,18204,18,8,11,1,1.375,0.125,spanish,12
ods,7433,18204,22,21,18,1,0.8571428571428571,0.047619047619047616,spanish,12
ac,7433,18804,30,9,16,1,1.7777777777777777,0.1111111111111111,spanish,2
food,7433,18804,23,24,22,5,0.9166666666666666,0.20833333333333334,spanish,2
ods,7433,18804,0,13,0,0,0,0,spanish,2
ac,7433,5031,34,25,32,4,1.28,0.16,spanish,4
food,7433,5031,18,17,16,1,0.9411764705882353,0.058823529411764705,spanish,4
ods,7433,5031,12,9,3,0,0.3333333333333333,0,spanish,4
ac,7433,8031,14,8,10,1,1.25,0.125,spanish,7
food,7433,8031,25,34,22,4,0.6470588235294118,0.11764705882352941,spanish,7
ods,7433,8031,19,16,6,0,0.375,0,spanish,7
ac,7433,531,3,0,0,0,NaN,NaN,spanish,8
ods,7433,531,36,27,29,4,1.0740740740740742,0.14814814814814814,spanish,8
play,7433,531,38,21,33,5,1.5714285714285714,0.23809523809523808,spanish,8
ac,7446,39915,30,28,29,5,1.0357142857142858,0.17857142857142858,spanish,12
conv,7446,39915,9,7,8,0,1.1428571428571428,0,spanish,12
ods,7446,39915,0,2,0,0,0,0,spanish,12
ac,7446,2999,23,23,22,4,0.9565217391304348,0.17391304347826086,spanish,13
food,7446,2999,36,34,33,4,0.9705882352941176,0.11764705882352941,spanish,13
ods,7446,2999,12,5,5,0,1,0,spanish,13
ac,7446,30315,94,89,93,26,1.0449438202247192,0.29213483146067415,spanish,2
food,7446,30315,23,22,22,7,1,0.3181818181818182,spanish,2
ods,7446,30315,0,8,0,0,0,0,spanish,2
ac,7446,31815,9,4,6,1,1.5,0.25,spanish,4
