"","id","rectime","activity","speaker","tokens","types","segment_num","language","speech","dur_min","tokens_permin","types_permin"
"55",20169,"14696","books","CHI",12,8,3,"english","all",3.37993333333333,3.5503658849287,2.36691058995247
"56",20169,"14696","books","ADULTS",471,75,3,"english","all",3.37993333333333,139.351860983451,22.1897867808044
"57",20177,"11474","books","CHI",44,25,1,"english","all",7.87931666666667,5.58424059615999,3.1728639750909
"58",20177,"11474","books","ADULTS",1109,320,1,"english","all",7.87931666666667,140.748245935032,40.6126588811635
"59",20177,"12074","books","CHI",68,30,2,"english","all",6.71158333333333,10.1317374191386,4.46988415550231
"60",20177,"12074","books","ADULTS",532,182,2,"english","all",6.71158333333333,79.2659456909076,27.1172972100473
"61",20177,"29337","books","CHI",13,10,6,"english","all",2.09516666666667,6.20475698035159,4.77288998488584
"62",20177,"29337","books","ADULTS",65,38,6,"english","all",2.09516666666667,31.023784901758,18.1369819425662
"63",20190,"15561","books","CHI",18,9,1,"english","all",0.99345,18.1186773365544,9.05933866827722
"64",20190,"15561","books","ADULTS",75,45,1,"english","all",0.99345,75.4944889023101,45.2966933413861
"65",20190,"5162","books","CHI",12,11,4,"english","all",3.99168333333333,3.00625049582257,2.75572962117069
"66",20190,"5162","books","ADULTS",403,153,4,"english","all",3.99168333333333,100.959912484708,38.3296938217377
"67",20190,"26832","books","CHI",36,25,5,"english","all",7.24383333333333,4.96974438027748,3.45121137519269
"68",20190,"26832","books","ADULTS",212,102,5,"english","all",7.24383333333333,29.266272461634,14.0809424107862
"69",20191,"13376","books","CHI",10,9,1,"english","all",4.22901666666667,2.36461588785415,2.12815429906873
"70",20191,"13376","books","ADULTS",366,140,1,"english","all",4.22901666666667,86.5449414954618,33.1046224299581
"71",20191,"14276","books","CHI",5,5,4,"english","all",1.56821666666667,3.18833494521377,3.18833494521377
"72",20191,"14276","books","ADULTS",221,101,4,"english","all",1.56821666666667,140.924404578449,64.4043658933182
"73",20192,"24018","books","CHI",16,12,1,"english","all",5.48616666666667,2.91642616277303,2.18731962207977
"74",20192,"24018","books","ADULTS",598,117,1,"english","all",5.48616666666667,109.001427833642,21.3263663152778
"75",20192,"38390","books","CHI",23,10,4,"english","all",3.45626666666667,6.65457912198132,2.89329527042666
"76",20192,"38390","books","ADULTS",166,88,4,"english","all",3.45626666666667,48.0287014890826,25.4609983797546
"77",20200,"26030","books","CHI",106,63,1,"english","all",7.6056,13.9370989796992,8.28337014831177
"78",20200,"26030","books","ADULTS",805,190,1,"english","all",7.6056,105.843063006206,24.9815925107815
"79",20200,"6959","books","CHI",44,27,2,"english","all",7.77916666666667,5.6561328334226,3.47080878414569
"80",20200,"6959","books","ADULTS",735,195,2,"english","all",7.77916666666667,94.4831280128548,25.0669523299411
"81",20204,"10696","books","CHI",18,8,7,"english","all",2.08916666666667,8.61587554846429,3.82927802153968
"82",20204,"10696","books","ADULTS",219,98,7,"english","all",2.08916666666667,104.826485839649,46.9086557638611
"83",20227,"6645","books","CHI",42,26,2,"english","all",2.5624,16.390883546675,10.1467374336559
"84",20227,"6645","books","ADULTS",178,85,2,"english","all",2.5624,69.4661255073369,33.1720262254137
"85",20227,"8725","books","CHI",27,16,7,"english","all",1.12878333333333,23.9195594076218,14.1745537230352
"86",20227,"8725","books","ADULTS",138,65,7,"english","all",1.12878333333333,122.255525861178,57.5841244998304
"87",20242,"5097","books","CHI",28,12,1,"english","all",5.27188333333333,5.31119492401514,2.27622639600649
"88",20242,"5097","books","ADULTS",600,227,1,"english","all",5.27188333333333,113.811319800324,43.0586159911227
"89",20242,"5697","books","CHI",44,16,3,"english","all",5.139,8.56197703833431,3.11344619575793
"90",20242,"5697","books","ADULTS",241,81,3,"english","all",5.139,46.8962833236038,15.7618213660245
"91",20251,"26614","books","CHI",35,19,2,"english","all",7.33366666666667,4.77251034043907,2.59079132766692
"92",20251,"26614","books","ADULTS",690,250,2,"english","all",7.33366666666667,94.0866324257988,34.0893595745648
"93",20251,"10665","books","CHI",18,13,3,"english","all",8.41866666666667,2.13810579664238,1.54418751979728
"94",20251,"10665","books","ADULTS",695,217,3,"english","all",8.41866666666667,82.5546404814697,25.7760532150776
"95",20001,"15242","play","CHI",52,22,2,"english","all",3.05325,17.0310325063457,7.2054368296078
"96",20001,"15242","play","ADULTS",201,83,2,"english","all",3.05325,65.831491034144,27.1841480389749
"97",20001,"5","play","CHI",76,38,5,"english","all",6.8589,11.0804939567569,5.54024697837846
"98",20001,"5","play","ADULTS",451,165,5,"english","all",6.8589,65.7539838749654,24.0563355640117
"99",20003,"1723","play","CHI",12,5,11,"english","all",2.89733333333333,4.14173953060286,1.72572480441786
"100",20003,"1723","play","ADULTS",196,56,11,"english","all",2.89733333333333,67.64841233318,19.32811780948
"101",20003,"11923","play","CHI",10,5,12,"english","all",2.53833333333333,3.93959290873277,1.96979645436638
"102",20003,"11923","play","ADULTS",90,44,12,"english","all",2.53833333333333,35.4563361785949,17.3342087984242
"103",20004,"12055","play","CHI",22,14,10,"english","all",3.68298333333333,5.97341828861567,3.80126618366451
"104",20004,"12055","play","ADULTS",188,74,10,"english","all",3.68298333333333,51.0455744663521,20.0924069707981
"105",20004,"5169","play","CHI",2,2,13,"english","all",1.58336666666667,1.26313130249889,1.26313130249889
"106",20004,"5169","play","ADULTS",41,31,13,"english","all",1.58336666666667,25.8941917012273,19.5785351887328
"107",20004,"8169","play","CHI",6,3,4,"english","all",1.81666666666667,3.30275229357798,1.65137614678899
"108",20004,"8169","play","ADULTS",56,37,4,"english","all",1.81666666666667,30.8256880733944,20.3669724770642
"109",20004,"12655","play","CHI",3,1,7,"english","all",2.14368333333333,1.39946043025634,0.466486810085446
"110",20004,"12655","play","ADULTS",115,49,7,"english","all",2.14368333333333,53.6459831598262,22.8578536941868
"111",20004,"6969","play","CHI",1,1,9,"english","all",0.2379,4.20344682639765,4.20344682639765
"112",20004,"6969","play","ADULTS",10,7,9,"english","all",0.2379,42.0344682639765,29.4241277847835
"113",20034,"10456","play","CHI",66,29,7,"english","all",4.99113333333333,13.2234495839288,5.81030360505964
"114",20034,"10456","play","ADULTS",324,100,7,"english","all",4.99113333333333,64.915116139287,20.0355296726195
"115",20041,"19599","play","CHI",11,8,14,"english","all",1.90093333333333,5.78663112856843,4.20845900259522
"116",20041,"19599","play","ADULTS",64,39,14,"english","all",1.90093333333333,33.6676720207618,20.5162376376517
"117",20041,"39491","play","CHI",47,32,17,"english","all",4.33688333333333,10.8372756165142,7.37857063252029
"118",20041,"39491","play","ADULTS",362,126,17,"english","all",4.33688333333333,83.4700802803857,29.0531218655486
"119",20041,"27399","play","CHI",87,30,20,"english","all",5.06511666666667,17.1763072255657,5.9228645605399
"120",20041,"27399","play","ADULTS",367,107,20,"english","all",5.06511666666667,72.4563764572714,21.124883599259
"121",20041,"2190","play","CHI",43,28,21,"english","all",2.90818333333333,14.7858628811801,9.62800373658241
"122",20041,"2190","play","ADULTS",324,107,21,"english","all",2.90818333333333,111.409757523311,36.7927285647971
"123",20041,"90","play","CHI",77,50,4,"english","all",4.85925,15.8460667798529,10.2896537531512
"124",20041,"90","play","ADULTS",557,150,4,"english","all",4.85925,114.626742810104,30.8689612594536
"125",20041,"690","play","CHI",110,58,5,"english","all",6.48988333333333,16.9494572321536,8.9369865405901
"126",20041,"690","play","ADULTS",743,176,5,"english","all",6.48988333333333,114.485879304456,27.1191315714458
"127",20048,"3648","play","CHI",91,35,12,"english","all",7.70716666666667,11.8071924399369,4.54122786151417
"128",20048,"3648","play","ADULTS",174,69,12,"english","all",7.70716666666667,22.576389940099,8.95270635555651
"129",20048,"24910","play","CHI",1,1,13,"english","all",0.784183333333333,1.27521200399566,1.27521200399566
"130",20048,"24910","play","ADULTS",40,26,13,"english","all",0.784183333333333,51.0084801598266,33.1555121038873
"131",20048,"18668","play","CHI",32,20,3,"english","all",2.50276666666667,12.7858503256396,7.99115645352475
"132",20048,"18668","play","ADULTS",141,54,3,"english","all",2.50276666666667,56.3376529973495,21.5761224245168
"133",20048,"948","play","CHI",76,53,5,"english","all",5.8511,12.9890106133889,9.05812582249492
"134",20048,"948","play","ADULTS",274,118,5,"english","all",5.8511,46.8288014219549,20.1671480576302
"135",20056,"47273","play","CHI",25,11,9,"english","all",3.50845,7.1256537787342,3.13528766264305
"136",20056,"47273","play","ADULTS",416,197,9,"english","all",3.50845,118.570878878137,56.1501517764255
"137",20071,"108","play","CHI",58,19,13,"english","all",3.38558333333333,17.1314642971423,5.61203140768455
"138",20071,"108","play","ADULTS",128,70,13,"english","all",3.38558333333333,37.8073694833486,20.6759051862062
"139",20071,"5808","play","CHI",40,19,9,"english","all",3.0676,13.0395097144347,6.1937671143565
"140",20071,"5808","play","ADULTS",442,150,9,"english","all",3.0676,144.086582344504,48.8981614291303
"141",20073,"6218","play","CHI",6,6,2,"english","all",1.56466666666667,3.83468257349807,3.83468257349807
"142",20073,"6218","play","ADULTS",286,85,2,"english","all",1.56466666666667,182.786536003408,54.3246697912227
"143",20073,"1119","play","CHI",37,22,3,"english","all",6.5343,5.66242749797224,3.36684878257809
"144",20073,"1119","play","ADULTS",535,140,3,"english","all",6.5343,81.875640849058,21.4254013436787
"145",20073,"4118","play","CHI",37,14,6,"english","all",3.76075,9.83846307252543,3.72266170311773
"146",20073,"4118","play","ADULTS",304,109,6,"english","all",3.76075,80.8349398391278,28.9835804028452
"147",20086,"36922","play","CHI",16,11,10,"english","all",1.10193333333333,14.5199346602941,9.98245507895217
"148",20086,"36922","play","ADULTS",107,67,10,"english","all",1.10193333333333,97.1020630407166,60.8022263899814
"149",20108,"14696","play","CHI",36,25,10,"english","all",5.24575,6.8626983748749,4.76576276032979
"150",20108,"14696","play","ADULTS",265,110,10,"english","all",5.24575,50.5170852594958,20.9693561454511
"151",20108,"14096","play","CHI",15,9,2,"english","all",2.61771666666667,5.73018470295358,3.43811082177215
"152",20108,"14096","play","ADULTS",138,71,2,"english","all",2.61771666666667,52.717699267173,27.122874260647
"153",20112,"17703","play","CHI",7,3,1,"english","all",0.406666666666667,17.2131147540983,7.37704918032786
"154",20112,"17703","play","ADULTS",12,8,1,"english","all",0.406666666666667,29.5081967213114,19.672131147541
"155",20112,"17103","play","ADULTS",0,0,2,"english","all",0.0205333333333333,0,0
"156",20112,"4203","play","CHI",129,43,3,"english","all",9.09058333333333,14.190508493221,4.73016949774034
"157",20112,"4203","play","ADULTS",635,195,3,"english","all",9.09058333333333,69.8525030480259,21.4507686525434
"158",20112,"23703","play","CHI",1,1,4,"english","all",0.190166666666667,5.25854513584574,5.25854513584574
"159",20112,"23703","play","ADULTS",25,21,4,"english","all",0.190166666666667,131.463628396143,110.429447852761
