id,activity,speaker,segment_num,words_sum,num_utt_sum,mlu_w,language,speech
20149,ac,CHI,2,7,3,2.3333333333333335,english,all
20149,conv,ADULTS,2,114,34,3.3529411764705883,english,all
20149,conv,CHI,2,6,5,1.2,english,all
20149,ods,ADULTS,2,89,25,3.56,english,all
20149,ods,CHI,2,1,1,1,english,all
20149,play,ADULTS,2,227,66,3.4393939393939394,english,all
20149,play,CHI,2,18,15,1.2,english,all
20149,routines,ADULTS,2,204,59,3.457627118644068,english,all
20149,routines,CHI,2,19,16,1.1875,english,all
20149,ac,ADULTS,3,5,1,5,english,all
20149,conv,ADULTS,3,143,37,3.864864864864865,english,all
20149,conv,CHI,3,22,17,1.2941176470588236,english,all
20149,ods,ADULTS,3,185,36,5.138888888888889,english,all
20149,ods,CHI,3,10,9,1.1111111111111112,english,all
20149,play,ADULTS,3,191,60,3.183333333333333,english,all
20149,play,CHI,3,41,24,1.7083333333333333,english,all
20149,conv,ADULTS,4,450,133,3.3834586466165413,english,all
20149,conv,CHI,4,50,38,1.3157894736842106,english,all
20149,conv,ADULTS,5,206,56,3.6785714285714284,english,all
20149,conv,CHI,5,34,26,1.3076923076923077,english,all
20149,ods,CHI,5,2,2,1,english,all
20149,play,ADULTS,5,50,25,2,english,all
20149,play,CHI,5,6,4,1.5,english,all
20149,routines,ADULTS,5,204,48,4.25,english,all
20149,routines,CHI,5,13,11,1.1818181818181819,english,all
20149,play,ADULTS,6,376,132,2.8484848484848486,english,all
20149,play,CHI,6,89,66,1.3484848484848484,english,all
20157,ac,ADULTS,15,54,17,3.176470588235294,english,all
20157,ac,CHI,15,3,3,1,english,all
20157,conv,ADULTS,15,33,8,4.125,english,all
20157,conv,CHI,15,2,2,1,english,all
20157,ods,ADULTS,15,294,69,4.260869565217392,english,all
20157,ods,CHI,15,12,10,1.2,english,all
20157,play,ADULTS,15,84,27,3.111111111111111,english,all
20157,play,CHI,15,18,10,1.8,english,all
20157,routines,ADULTS,15,43,15,2.8666666666666667,english,all
20157,routines,CHI,15,6,6,1,english,all
20157,ac,ADULTS,20,322,101,3.1881188118811883,english,all
20157,ac,CHI,20,72,55,1.309090909090909,english,all
20157,ods,ADULTS,20,104,31,3.3548387096774195,english,all
