"","activity","id","rectime","segment_num","language","dur_min","Dur10minval","AWCval","Time","Date","dur_10min","tcds_min"
"63","ac","20041",19599,14,"english",4.33383333333333,600,490,16.05,"2011.04.18",10,8.50494999999999
"64","conv","20041",19599,14,"english",2.27018333333333,600,490,16.05,"2011.04.18",10,8.50494999999999
"65","play","20041",19599,14,"english",1.90093333333333,600,490,16.05,"2011.04.18",10,8.50494999999999
"66","play","20041",39491,17,"english",4.33688333333333,600,446,11,"2011.04.19",10,4.33688333333333
"67","play","20041",27399,20,"english",5.06511666666667,600,382,18.15,"2011.04.18",10,7.70733333333334
"68","conv","20041",27399,20,"english",2.64221666666667,600,382,18.15,"2011.04.18",10,7.70733333333334
"69","routines","20041",2190,21,"english",1.76408333333333,600,376,8.55,"2011.04.18",10,5.06708333333333
"70","play","20041",2190,21,"english",2.90818333333333,600,376,8.55,"2011.04.18",10,5.06708333333333
"71","ac","20041",2190,21,"english",0.394816666666667,600,376,8.55,"2011.04.18",10,5.06708333333333
"72","food","20041",90,4,"english",2.23371666666667,600,821,8.2,"2011.04.18",10,7.09296666666667
"73","play","20041",90,4,"english",4.85925,600,821,8.2,"2011.04.18",10,7.09296666666667
"74","play","20041",690,5,"english",6.48988333333333,600,788,8.3,"2011.04.18",10,6.48988333333333
"75","books","20048",17,11,"english",4.88525,600,239,11.55,"2011.04.18",10,7.2478
"76","ac","20048",17,11,"english",2.36255,600,239,11.55,"2011.04.18",10,7.2478
"77","play","20048",3648,12,"english",7.70716666666667,600,231,15.4,"2011.04.19",10,9.07466666666667
"78","conv","20048",3648,12,"english",1.3675,600,231,15.4,"2011.04.19",10,9.07466666666667
"79","ac","20048",24910,13,"english",0.575083333333333,600,219,8.3,"2011.04.20",10,4.82348333333334
"80","conv","20048",24910,13,"english",3.46421666666667,600,219,8.3,"2011.04.20",10,4.82348333333334
"81","play","20048",24910,13,"english",0.784183333333333,600,219,8.3,"2011.04.20",10,4.82348333333334
"82","food","20048",12618,2,"english",9.85761666666667,600,667,18.1,"2011.04.19",10,9.85761666666667
"83","ac","20048",18668,3,"english",1.25128333333333,600,475,20,"2011.04.19",10,3.75405
"84","play","20048",18668,3,"english",2.50276666666667,600,475,20,"2011.04.19",10,3.75405
"85","play","20048",948,5,"english",5.8511,600,449,14.55,"2011.04.19",10,7.72888333333333
"86","books","20048",948,5,"english",1.87778333333333,600,449,14.55,"2011.04.19",10,7.72888333333333
"87","ac","20050",4720,1,"english",0.00748333333333333,600,1363,9.2,"2010.11.16",10,9.5555
"88","books","20050",4720,1,"english",9.54801666666667,600,1363,9.2,"2010.11.16",10,9.5555
"89","books","20050",30220,2,"english",9.5463,600,1262,16.25,"2010.11.16",10,9.5463
"90","conv","20050",31120,3,"english",2.24325,600,1185,16.4,"2010.11.16",10,8.93243333333333
"91","books","20050",31120,3,"english",6.68918333333333,600,1185,16.4,"2010.11.16",10,8.93243333333333
"92","books","20050",5620,4,"english",7.30001666666667,600,1153,9.35,"2010.11.16",10,8.65246666666667
