id,rectime,speaker,Speaker2,activity,segment_num,language,speech,n_speakers
20004,12055,MOT,ADULTS,play,10,english,all,3
20004,12055,FAT,ADULTS,play,10,english,all,3
20004,12055,ADF,ADULTS,play,10,english,all,3
20004,5169,CHI,CHI,play,13,english,all,1
20004,5169,MOT,ADULTS,play,13,english,all,2
20004,5169,ADF,ADULTS,play,13,english,all,2
20004,8169,CHI,CHI,play,4,english,all,1
20004,8169,ADF,ADULTS,play,4,english,all,1
20004,12655,CHI,CHI,play,7,english,all,1
20004,12655,ADM,ADULTS,play,7,english,all,2
20004,12655,ADF,ADULTS,play,7,english,all,2
20004,6969,CHI,CHI,play,9,english,all,1
20004,6969,ADF,ADULTS,play,9,english,all,1
20034,10456,CHI,CHI,play,7,english,all,1
20034,10456,FAT,ADULTS,play,7,english,all,1
20041,19599,CHI,CHI,play,14,english,all,1
20041,19599,MOT,ADULTS,play,14,english,all,1
20041,39491,CHI,CHI,play,17,english,all,1
20041,39491,MOT,ADULTS,play,17,english,all,1
20041,27399,CHI,CHI,play,20,english,all,1
20041,27399,MOT,ADULTS,play,20,english,all,2
20041,27399,FAT,ADULTS,play,20,english,all,2
20041,2190,CHI,CHI,play,21,english,all,1
20041,2190,MOT,ADULTS,play,21,english,all,1
20041,90,CHI,CHI,play,4,english,all,1
20041,90,MOT,ADULTS,play,4,english,all,1
20041,690,CHI,CHI,play,5,english,all,1
20041,690,MOT,ADULTS,play,5,english,all,1
20048,3648,CHI,CHI,play,12,english,all,1
20048,3648,MOT,ADULTS,play,12,english,all,1
20048,24910,CHI,CHI,play,13,english,all,1
20048,24910,MOT,ADULTS,play,13,english,all,1
20048,18668,CHI,CHI,play,3,english,all,1
20048,18668,MOT,ADULTS,play,3,english,all,1
20048,948,CHI,CHI,play,5,english,all,1
20048,948,MOT,ADULTS,play,5,english,all,2
20048,948,FAT,ADULTS,play,5,english,all,2
20056,47273,CHI,CHI,play,9,english,all,1
20056,47273,MOT,ADULTS,play,9,english,all,3
20056,47273,GMA,ADULTS,play,9,english,all,3
20056,47273,GFA,ADULTS,play,9,english,all,3
20071,108,CHI,CHI,play,13,english,all,1
20071,108,FAT,ADULTS,play,13,english,all,1
20071,5808,CHI,CHI,play,9,english,all,1
20071,5808,MOT,ADULTS,play,9,english,all,1
20073,6218,CHI,CHI,play,2,english,all,1
20073,6218,GFA,ADULTS,play,2,english,all,1
20073,1119,CHI,CHI,play,3,english,all,1
20073,1119,GFA,ADULTS,play,3,english,all,2
20073,1119,GMA,ADULTS,play,3,english,all,2
20073,4118,CHI,CHI,play,6,english,all,1
20073,4118,GMA,ADULTS,play,6,english,all,2
20073,4118,GFA,ADULTS,play,6,english,all,2
20086,36922,CHI,CHI,play,10,english,all,1
20086,36922,MOT,ADULTS,play,10,english,all,3
20086,36922,FAT,ADULTS,play,10,english,all,3
20086,36922,GFA,ADULTS,play,10,english,all,3
20108,14696,CHI,CHI,play,10,english,all,1
20108,14696,FAT,ADULTS,play,10,english,all,1
20108,14096,CHI,CHI,play,2,english,all,1
20108,14096,FAT,ADULTS,play,2,english,all,1
20112,17703,CHI,CHI,play,1,english,all,1
20112,17703,FAT,ADULTS,play,1,english,all,1
20112,17103,FAT,ADULTS,play,2,english,all,1
20112,4203,CHI,CHI,play,3,english,all,1
20112,4203,MOT,ADULTS,play,3,english,all,2
20112,4203,ADM,ADULTS,play,3,english,all,2
20112,23703,CHI,CHI,play,4,english,all,1
20112,23703,FAT,ADULTS,play,4,english,all,1
20112,3,CHI,CHI,play,5,english,all,1
20112,3,MOT,ADULTS,play,5,english,all,2
20112,3,ADF,ADULTS,play,5,english,all,2
20113,1506,CHI,CHI,play,13,english,all,1
20113,1506,MOT,ADULTS,play,13,english,all,1
20113,7881,CHI,CHI,play,6,english,all,1
20113,7881,MOT,ADULTS,play,6,english,all,1
20117,6529,CHI,CHI,play,12,english,all,1
20117,6529,MOT,ADULTS,play,12,english,all,1
20117,13729,CHI,CHI,play,27,english,all,1
20117,13729,FAT,ADULTS,play,27,english,all,1
20121,1212,CHI,CHI,play,1,english,all,1
20121,1212,MOT,ADULTS,play,1,english,all,1
20121,6612,CHI,CHI,play,3,english,all,1
20121,6612,MOT,ADULTS,play,3,english,all,1
